,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
933,Morten Frendrup\f4d60499,dk DEN,DFMF,Genoa,it Serie A,20,2001,7.7,32.6,46.4,70.3,599.7,239.7,13.6,16.2,84,13.5,18.8,71.7,4.42,7.66,57.6,0,0.09,-0.09,0.52,3.25,0.52,0.13,4.03,Matches
934,Remo Freuler\98d2c2c4,ch SUI,MF,Atalanta,it Serie A,29,1992,26.3,55.1,64.2,85.8,983.2,271.9,23.2,25.8,90,25.1,28.2,88.9,5.36,7.64,70.1,0.11,0.07,0.05,0.91,5.89,1.67,0.23,6.69,Matches
935,Marvin Friedrich\b77f44a4,de GER,DF,M'Gladbach,de Bundesliga,25,1995,6.7,62.5,70.3,89,1357.8,416,17,18.5,91.9,35.5,36.4,97.5,9.85,14.3,68.8,0,0,0,0,1.79,0.3,0,2.39,Matches
936,Marvin Friedrich\b77f44a4,de GER,DF,Union Berlin,de Bundesliga,25,1995,13,36.2,47.9,75.6,825.8,326.4,9.38,11.5,81.3,19.2,22,87.1,7.15,12.8,55.7,0,0.07,-0.07,0.31,3.08,0.15,0.08,2.62,Matches
937,Jeremie Frimpong\74f2e748,nl NED,DF,Leverkusen,de Bundesliga,20,2000,22.8,43.2,53,81.6,703.4,215.3,21.9,24.3,90.2,17.6,20.7,85,3.03,5.66,53.5,0.26,0.18,0.08,1.18,1.62,1.1,0.44,2.72,Matches
938,Christian Früchtl\1940be91,de GER,GK,Bayern Munich,de Bundesliga,21,2000,0.1,30,30,100,670,420,10,10,100,10,10,100,10,10,100,0,0,0,0,0,0,0,0,Matches
939,Jorge de Frutos\38ce1150,es ESP,MFFW,Levante,es La Liga,24,1997,19.6,17.6,26,67.8,307.6,115.9,9.29,11,84.7,5.56,8.11,68.6,2.19,4.44,49.4,0.36,0.17,0.19,1.17,1.28,1.38,0.56,2.65,Matches
940,Leo Fuhr Hjelde\d102b8a2,no NOR,DF,Leeds United,eng Premier League,17,2003,1.7,49.4,65.3,75.7,774.7,296.5,27.6,32.4,85.5,17.6,20.6,85.7,3.53,8.24,42.9,0,0,0,0.59,2.35,0,0,2.94,Matches
941,Chris Führich\0cf778df,de GER,MFFW,Stuttgart,de Bundesliga,23,1998,19,29.2,36.7,79.4,482.7,153,15,17.3,86.9,10.4,12.5,83.1,2.68,5,53.7,0.11,0.19,-0.08,1.79,2.42,1.74,0.42,3.05,Matches
942,Angelo Fulgini\4b96c347,fr FRA,MFFW,Angers,fr Ligue 1,24,1996,32.5,35.2,43.1,81.7,570.2,138.7,16.6,18.9,87.9,13.4,15.5,86.3,2.98,5.32,56.1,0.12,0.09,0.03,1.29,2.86,0.86,0.22,3.6,Matches
943,Marius Funk\86314793,de GER,GK,Greuther Fürth,de Bundesliga,25,1996,8,28.3,45.3,62.4,973.8,587.1,4.25,4.25,100,11.1,11.5,96.7,12.8,29.1,43.8,0,0.01,-0.01,0.38,1.25,0,0,0,Matches
944,Stephan Fürstner\18c2e247,de GER,MF,Mainz 05,de Bundesliga,33,1987,0.1,10,50,20,120,110,10,10,100,0,10,0,0,30,0,0,0,0,0,0,0,0,10,Matches
945,Matteo Gabbia\c235e803,it ITA,DF,Milan,it Serie A,21,1999,6,61.3,69.7,88,1430.2,401.8,12.2,13.8,88,34.8,36.8,94.6,14,18.3,76.4,0,0.02,-0.02,0.17,3.33,0.17,0,3.17,Matches
946,Manolo Gabbiadini\8f866fe8,it ITA,FWMF,Sampdoria,it Serie A,29,1991,12.7,17.7,26.8,66.2,279.7,87.1,10,12.8,78.4,5.2,7.72,67.3,1.81,4.17,43.4,0.16,0.13,0.02,1.26,1.73,1.1,0.31,2.6,Matches
947,Mijat Gaćinović\16daec92,rs SRB,FWDF,Hoffenheim,de Bundesliga,26,1995,1.2,32.5,38.3,84.8,550,210,14.2,15,94.4,16.7,19.2,87,1.67,4.17,40,0,0,0,0,1.67,0,0,4.17,Matches
948,Gianluca Gaetano\3b387cc7,it ITA,MF,Napoli,it Serie A,21,2000,0.2,45,55,81.8,705,200,20,25,80,25,30,83.3,0,0,,0,0,0,0,0,0,0,5,Matches
949,Luca Gagliano\1d00a56c,it ITA,MFDF,Cagliari,it Serie A,21,2000,0.1,40,50,80,740,0,20,20,100,20,20,100,0,10,0,0,0,0,0,0,0,0,0,Matches
950,Roberto Gagliardini\ce30bfc8,it ITA,MF,Inter,it Serie A,27,1994,7.2,41.3,48.5,85.1,636.3,166.9,23.2,25.8,89.8,15.3,17.8,85.9,2.08,3.47,60,0.28,0.26,0.01,0.97,3.33,0.56,0,3.47,Matches
951,Riccardo Gagliolo\173061c0,se SWE,DF,Salernitana,it Serie A,31,1990,12.6,30.5,39,78.2,660.7,276.7,9.05,10.4,87,14.4,17.4,83.1,6.43,9.92,64.8,0.08,0,0.08,0.08,3.02,0.16,0,3.02,Matches
952,Javi Galán\a4b00319,es ESP,DF,Celta Vigo,es La Liga,26,1994,36.6,46.9,59.9,78.4,842.6,266.4,21.7,24.3,89.2,19.6,23.8,82.5,4.84,9.29,52.1,0.08,0.06,0.02,0.63,1.69,1.07,0.6,3.42,Matches
953,Iñigo Ruiz de Galarreta\91f7631f,es ESP,MF,Mallorca,es La Liga,27,1993,15.3,40,49.6,80.6,770.7,222.8,15.9,18.3,87.1,17.8,21,85,5.36,8.04,66.7,0,0.05,-0.05,0.78,4.77,0.72,0.07,5.29,Matches
954,Nicolas Galazzi\a796492f,it ITA,DF,Venezia,it Serie A,20,2000,0.2,25,40,62.5,390,125,20,25,80,5,10,50,0,0,,0,0,0,0,0,0,0,5,Matches
955,Pablo Galdames Millán\dd403465,cl CHI,MF,Genoa,it Serie A,24,1996,11.4,28.7,39.3,73,572.8,183.6,11.7,13.8,84.7,12.1,15.5,78,4.3,8.07,53.3,0,0.1,-0.1,1.14,1.84,0.7,0.18,3.51,Matches
956,Thiago Galhardo\766f48dd,br BRA,FWMF,Celta Vigo,es La Liga,32,1989,12.8,14.8,21.8,68.1,198.1,64.8,9.92,11.8,84.1,3.36,6.17,54.4,0.78,1.56,50,0.16,0.18,-0.02,0.94,1.02,0.86,0.08,2.11,Matches
957,Conor Gallagher\c2731c10,eng ENG,MF,Crystal Palace,eng Premier League,21,2000,31.6,28.2,36.9,76.3,513.9,128.5,12.9,14.8,87,10.7,13.2,81.1,3.73,7.06,52.9,0.09,0.11,-0.02,1.11,2.44,0.7,0.28,1.96,Matches
958,Gauthier Gallon\db3164e1,fr FRA,GK,Troyes,fr Ligue 1,28,1993,31,24,34.2,70.2,728.5,457.8,4.81,4.87,98.7,9.42,9.61,98,9.55,19.5,49.1,0,0,0,0,0.29,0,0,0,Matches
959,Cristian Gamboa\f27680d9,cr CRC,DF,Bochum,de Bundesliga,31,1989,19.1,36.2,50.2,72.2,815.9,383.9,10.5,11.9,88.2,16.8,21.4,78.5,8.53,15.8,54,0,0.06,-0.06,0.63,3.93,0.89,0.52,4.03,Matches
960,Kévin Gameiro\42276181,fr FRA,FW,Strasbourg,fr Ligue 1,34,1987,26.5,24.1,30.2,79.9,329.6,47.5,15.6,18.2,85.9,6.68,8.11,82.3,0.79,1.62,48.8,0.11,0.09,0.03,0.98,0.64,0.94,0.11,1.7,Matches
961,Idrissa Gana Gueye\72c812f3,sn SEN,MF,Paris S-G,fr Ligue 1,31,1989,18.2,71.2,76.3,93.4,1189.7,285.9,34.7,36.5,95.2,28.8,30.4,94.6,5.77,6.54,88.2,0.05,0.09,-0.04,0.82,7.14,0.44,0.05,4.78,Matches
962,Ignatius Ganago\23c63b7f,cm CMR,FW,Lens,fr Ligue 1,22,1999,11.4,13.1,18,72.7,178.5,21.4,7.19,8.95,80.4,4.47,6.58,68,0.35,0.79,44.4,0.09,0.14,-0.05,0.88,0.96,0.35,0,0.88,Matches
963,Silvère Ganvoula M'Boussy\6c731625,cg CGO,FW,Bochum,de Bundesliga,25,1996,1.7,20,35.3,56.7,360,58.2,9.41,12.9,72.7,8.24,15.3,53.8,1.76,2.94,60,0,0,0,0,1.18,0,0,1.76,Matches
964,Álvaro García\90bbd822,es ESP,FW,Rayo Vallecano,es La Liga,28,1992,33.3,19.4,31.1,62.3,340,117.4,9.34,12.6,73.9,7.6,11.1,68.2,1.98,5.5,36.1,0.12,0.15,-0.03,1.47,0.99,1.47,0.78,2.31,Matches
965,Dani García\240d3a0b,es ESP,MF,Athletic Club,es La Liga,31,1990,24.2,33.2,43,77.1,663.6,174.8,11.7,14.1,83.3,15.5,18.8,82.2,5.29,8.64,61.2,0,0.02,-0.02,0.33,3.6,0.37,0,3.6,Matches
966,David García\3e42f707,es ESP,DF,Osasuna,es La Liga,27,1994,34.5,34.1,41.2,82.8,790.2,277.8,8.06,9.42,85.5,18.4,20.8,88.4,7.45,10.6,70.2,0,0.01,-0.01,0.23,2.93,0.06,0,2.9,Matches
967,Eric García\2bed3eab,es ESP,DF,Barcelona,es La Liga,20,2001,22.7,68.3,73.4,93,1471,457.8,19.6,20.7,94.9,36.5,38.3,95.3,12,13.7,87.2,0,0.01,-0.01,0.22,6.96,0.09,0,5.37,Matches
968,Francisco Garcia\7226539b,es ESP,DF,Rayo Vallecano,es La Liga,21,1999,33.6,39.7,50.4,78.7,723.1,261.9,17,18.7,91.2,18,21.8,82.8,4.14,8.13,50.9,0,0.04,-0.04,0.83,2.83,1.07,0.65,3.3,Matches
969,Joan García\87b498b0,es ESP,GK,Espanyol,es La Liga,20,2001,1.2,20.8,27.5,75.8,503.3,305,6.67,6.67,100,7.5,7.5,100,6.67,13.3,50,0,0,0,0,1.67,0,0,0.83,Matches
970,Manu García\6ed1a2a2,es ESP,MF,Alavés,es La Liga,23,1998,12,36.9,48.5,76.1,784.8,245.2,14.9,17.9,83.3,13,15.2,85.7,8.08,13.4,60.2,0.08,0.09,-0.01,1.83,6.42,1.5,0.42,4.75,Matches
971,Raúl García\b418dbd4,es ESP,FW,Athletic Club,es La Liga,35,1986,20,18.6,29.7,62.8,321.6,109.5,9.05,12.6,71.8,6.9,10.9,63.3,1.85,4.2,44,0.1,0.14,-0.03,0.8,2.5,1,0.15,3.2,Matches
972,Rubén García\5c96b017,es ESP,FWMF,Osasuna,es La Liga,28,1993,26.4,33.8,47.2,71.5,624,203.6,16.6,19.6,84.4,11.4,14.9,76.1,5,10,49.8,0.23,0.13,0.1,2.05,2.12,1.89,0.72,3.75,Matches
973,Saúl García\dafa5038,es ESP,FW,Alavés,es La Liga,26,1994,0,1,3,33.3,24,14,0,0,,1,2,50,0,1,0,0,0,0,0,0,0,0,0,Matches
974,Unai García\4a633cfe,es ESP,DF,Osasuna,es La Liga,29,1992,15.6,26.6,35.5,74.9,710.3,218.2,4.68,5.9,79.3,14,16.4,85.2,7.88,13.1,60.3,0,0.01,-0.01,0.19,2.76,0.13,0,2.05,Matches
975,Alejandro Garnacho\7aa8adfe,es ESP,FW,Manchester Utd,eng Premier League,17,2004,0.1,30,30,100,250,40,30,30,100,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
976,Mario Gaspar\fb5d47b3,es ESP,DF,Villarreal,es La Liga,30,1990,6.9,43.2,53.3,81,804.3,327.4,18.6,20.9,88.9,18.7,22.8,82.2,5.51,8.41,65.5,0,0.07,-0.07,0.58,2.75,0.72,0.43,2.46,Matches
977,Djeidi Gassama\bbdb2789,fr FRA,FW,Paris S-G,fr Ligue 1,17,2003,0,2,2,100,21,0,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
978,Johan Gastien\868eaba0,fr FRA,MF,Clermont Foot,fr Ligue 1,33,1988,30.5,70.5,85.3,82.6,1611.9,520.8,21.6,24.5,88.1,30.8,34.4,89.4,17.1,24.2,70.8,0.03,0.07,-0.04,0.85,6.66,0.72,0.16,6.98,Matches
979,Dwight Gayle\e58a03c6,eng ENG,FW,Newcastle Utd,eng Premier League,30,1990,0.4,27.5,32.5,84.6,270,40,22.5,25,90,2.5,2.5,100,0,0,,0,1.25,-1.25,5,0,0,0,2.5,Matches
980,Jean-Philippe Gbamin\6bd603db,ci CIV,MF,Everton,eng Premier League,25,1995,0.7,22.9,30,76.2,320,28.6,17.1,20,85.7,4.29,7.14,60,1.43,2.86,50,0,0,0,0,0,0,0,0,Matches
981,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,eng Premier League,30,1990,38,17,24,70.9,481.9,278.5,3.26,3.29,99.2,7.68,7.89,97.3,5.92,12.6,47,0,0,0,0,0.03,0,0,0,Matches
982,Linus Gechter\ad2b068c,de GER,DF,Hertha BSC,de Bundesliga,17,2004,8,37.8,47.4,79.7,801.5,259.5,12.3,13.3,92.5,18.5,20.3,91.4,6.5,12.6,51.5,0,0.04,-0.04,0.38,1.88,0.25,0.13,2.25,Matches
983,Dennis Geiger\37f606f0,de GER,MF,Hoffenheim,de Bundesliga,23,1998,15.3,42.4,51.2,82.8,855.5,225.6,16.7,18.8,88.9,18.3,20.4,89.7,7.06,10.8,65.1,0.13,0.14,-0.01,1.44,3.66,1.37,0.13,4.31,Matches
984,Joe Gelhardt\01962d0d,eng ENG,FWMF,Leeds United,eng Premier League,19,2002,8.3,12.7,18.8,67.3,169.5,47.7,6.87,9.76,70.4,4.34,5.9,73.5,0.36,1.2,30,0.24,0.18,0.06,1.08,0.6,1.33,0.12,2.05,Matches
985,Luca Gemello\53e494ec,it ITA,GK,Torino,it Serie A,21,2000,1,15,34,44.1,617,468,1,1,100,5,5,100,9,28,32.1,0,0,0,0,1,0,0,0,Matches
986,Yannick Gerhardt\62ab9184,de GER,MFDF,Wolfsburg,de Bundesliga,27,1994,17.5,35.2,46.6,75.5,630.7,207.9,14.4,18.1,79.5,15.5,19.4,79.9,4.29,6.51,65.8,0.17,0.1,0.07,0.69,2.97,1.26,0.23,4.51,Matches
987,Valère Germain\ea0ff634,fr FRA,FW,Montpellier,fr Ligue 1,31,1990,21.9,16.5,21.6,76.3,218.9,36.6,10.1,12.3,81.9,4.25,5.57,76.2,0.73,1.23,59.3,0.14,0.1,0.04,0.78,0.73,0.64,0.05,1.28,Matches
988,Gerson\8827bf46,br BRA,MFFW,Marseille,fr Ligue 1,24,1997,28.3,41.8,46.4,90.1,673,112.4,21.5,23.1,93,16.1,17.2,93.6,3.18,4.24,75,0.14,0.09,0.05,0.88,2.54,0.88,0.21,2.51,Matches
989,Willem Geubbels\9836e892,fr FRA,FWMF,Nantes,fr Ligue 1,19,2001,6,16.7,23.7,70.4,247.5,47.3,9.33,11.5,81.2,6.17,7.83,78.7,0.67,2.33,28.6,0.17,0.23,-0.07,0.5,0.83,0,0,0.5,Matches
990,Hamadi Al Ghaddioui\5723931e,ma MAR,FW,Stuttgart,de Bundesliga,30,1990,5.5,13.3,19.8,67,177.1,14.4,8.18,11.8,69.2,3.64,4.73,76.9,0.73,1.09,66.7,0.36,0.2,0.16,1.45,0.18,0.36,0,0.55,Matches
991,Ismaël Gharbi\5b3cfa12,tn TUN,FW,Paris S-G,fr Ligue 1,17,2004,0,4,4,100,64,16,1,1,100,3,3,100,0,0,,0,0,0,0,0,1,0,1,Matches
992,Anwar El Ghazi\ffa90327,nl NED,FWMF,Aston Villa,eng Premier League,26,1995,4.3,19.1,26.7,71.3,293.5,86,11.6,13.5,86.2,6.05,9.53,63.4,1.16,1.86,62.5,0.23,0.09,0.14,0.93,0.23,1.4,0.93,1.63,Matches
993,Anwar El Ghazi\ffa90327,nl NED,FW,Everton,eng Premier League,26,1995,0.1,80,90,88.9,920,330,70,80,87.5,0,0,,10,10,100,0,0,0,0,0,0,0,0,Matches
994,Lamine Ghezali\ce84946a,fr FRA,DF,Saint-Étienne,fr Ligue 1,22,1999,0,4,6,66.7,62,29,3,3,100,1,1,100,0,2,0,0,0,0,1,0,0,0,0,Matches
995,Paolo Ghiglione\71dc23da,it ITA,DF,Genoa,it Serie A,24,1997,6.7,32.1,50.6,63.4,601.2,285.7,14.5,16.4,88.2,12.5,19.3,65.1,4.78,12.1,39.5,0.15,0.06,0.09,1.04,1.34,1.34,0.75,3.28,Matches
996,Saman Ghoddos\f7b1d4e0,ir IRN,DFMF,Brentford,eng Premier League,27,1993,6,24.8,36.8,67.4,438.8,140,12.8,17.7,72.6,7.83,10.7,73.4,3.5,6.67,52.5,0.17,0.2,-0.03,1,2,1.67,0.33,3.17,Matches
997,Faouzi Ghoulam\c5adc293,dz ALG,DF,Napoli,it Serie A,30,1991,3.7,63.5,76.2,83.3,1051.1,337.3,33.2,35.4,93.9,23.8,26.8,88.9,5.14,11.6,44.2,0,0.11,-0.11,1.89,6.49,1.35,0.81,4.59,Matches
998,Dimitris Giannoulis\112c495e,gr GRE,DF,Norwich City,eng Premier League,25,1995,13,39.9,54.2,73.6,668.1,273.2,19.3,22.5,85.7,17.5,21.8,80.2,2.62,8,32.7,0.08,0.04,0.04,0.62,1.54,1,0.08,3.31,Matches
999,Morgan Gibbs-White\32f60ed8,eng ENG,FWMF,Wolves,eng Premier League,21,2000,0.1,70,100,70,740,280,50,60,83.3,10,10,100,0,10,0,0,0,0,0,10,0,0,10,Matches
1000,Ben Gibson\bcfb0142,eng ENG,DF,Norwich City,eng Premier League,28,1993,27.7,38.4,47,81.7,898.7,340.8,9.28,10.1,91.8,20.5,22.6,90.9,8.41,13.6,61.8,0,0,0,0.07,3,0.32,0,2.82,Matches
1001,Niko Gießelmann\7242b495,de GER,DF,Union Berlin,de Bundesliga,29,1991,23.1,34.2,49.1,69.5,690.3,285.2,12.6,15.2,82.9,16,21.3,75.1,5.15,11,47,0.26,0.06,0.19,1.21,2.38,0.95,0.56,4.29,Matches
1002,Rafał Gikiewicz\17376543,pl POL,GK,Augsburg,de Bundesliga,33,1987,34,24,36.5,65.9,803.7,510.9,3.44,3.47,99.2,9.47,9.71,97.6,11,23.1,47.5,0,0,0,0.06,0.59,0,0,0,Matches
1003,Óscar Gil\6652cf96,es ESP,DF,Espanyol,es La Liga,24,1997,18.8,33.3,39.4,84.6,555.9,172,17.2,18.9,91.3,12.4,14.1,88,2.98,5.05,58.9,0.11,0.13,-0.03,0.85,1.7,0.48,0.32,1.6,Matches
1004,Mario Gila\9c435456,es ESP,DF,Real Madrid,es La Liga,20,2000,0.3,66.7,73.3,90.9,1253.3,473.3,23.3,23.3,100,33.3,36.7,90.9,10,13.3,75,0,0,0,0,3.33,0,0,6.67,Matches
1005,Billy Gilmour\df10e27c,sct SCO,MF,Norwich City,eng Premier League,20,2001,20.6,46.5,58.3,79.8,999.6,263.5,16.7,18.6,89.6,18.8,21.3,88.2,10.1,16.4,61.5,0.05,0.1,-0.05,1.21,4.17,0.83,0.05,4.51,Matches
1006,Daniel Ginczek\e5f63987,de GER,MFFW,Wolfsburg,de Bundesliga,30,1991,0.1,10,40,25,150,0,10,10,100,0,20,0,0,0,,0,0,0,0,0,0,0,0,Matches
1007,Matthias Ginter\f521b80a,de GER,DF,M'Gladbach,de Bundesliga,27,1994,26.2,56.3,66.9,84.2,1144.2,407.1,18.7,20.4,91.9,29.8,33.1,90,7.37,12.3,60.1,0,0.06,-0.06,0.57,3.44,0.73,0.19,5.61,Matches
1008,Nicholas Gioacchini\79ab7593,us USA,MFFW,Montpellier,fr Ligue 1,21,2000,5.5,18,26.2,68.8,252.7,64.5,11.5,15.1,75.9,4.73,7.45,63.4,0.91,1.45,62.5,0.36,0.16,0.2,1.09,0.73,1.09,0.36,1.82,Matches
1009,Sebastian Giovinco\2b7c18ae,it ITA,MF,Sampdoria,it Serie A,34,1987,0.4,15,25,60,315,40,10,12.5,80,0,0,,5,10,50,0,0,0,0,2.5,2.5,0,2.5,Matches
1010,Jimmy Giraudon\6ba71da5,fr FRA,DF,Troyes,fr Ligue 1,29,1992,18,41.4,47.7,86.8,871.7,375,13,13.8,94,20,21.5,93,8.06,11.5,70,0,0.02,-0.02,0.17,1.28,0.11,0.06,1.56,Matches
1011,Andrei Girotto\3befc2b6,br BRA,DFMF,Nantes,fr Ligue 1,29,1992,35,39.9,48.5,82.4,822.6,238.2,14.4,16.3,88.3,17.7,20.3,87,7.26,10.7,67.7,0.03,0.03,0,0.2,2.34,0.11,0.06,2.31,Matches
1012,Olivier Giroud\16ceb862,fr FRA,FW,Milan,it Serie A,34,1986,21,16,23.1,69.3,200.8,31.2,10.7,14.2,75.3,3.38,5.57,60.7,0.67,1,66.7,0.14,0.1,0.05,1,0.48,0.52,0.05,1.1,Matches
1013,Serge Gnabry\88e357ef,de GER,FWDF,Bayern Munich,de Bundesliga,26,1995,24.3,44,55.7,79,699.5,196.4,23.7,28,84.9,16.7,20.4,81.7,2.92,5.27,55.5,0.21,0.28,-0.07,1.98,2.47,2.8,0.62,5.27,Matches
1014,Ben Godfrey\9f7c837d,eng ENG,DF,Everton,eng Premier League,23,1998,22.5,26.9,35,76.8,513.6,174.4,9.6,11.4,84,13.6,16.9,80.8,3.11,5.42,57.4,0,0.03,-0.03,0.58,1.91,0.58,0.31,1.73,Matches
1015,Diego Godín\fc4f85b1,uy URU,DF,Cagliari,it Serie A,35,1986,9.1,43.2,47.7,90.6,995.9,299.8,10.7,11.6,91.5,21,22.4,93.6,10.9,12.9,84.6,0.11,0.04,0.07,0.33,2.86,0,0,1.32,Matches
1016,Edoardo Goldaniga\4b029b31,it ITA,DF,Cagliari,it Serie A,27,1993,10.4,33.7,46.3,72.6,749.7,353.4,10.8,13.2,81.8,15,18.8,80,7.31,12.9,56.7,0,0.01,-0.01,0.29,2.4,0.48,0.19,3.08,Matches
1017,Edoardo Goldaniga\4b029b31,it ITA,MFDF,Sassuolo,it Serie A,27,1993,0,1,1,100,17,17,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,Matches
1018,Aleksandr Golovin\3708e9fa,ru RUS,FWMF,Monaco,fr Ligue 1,25,1996,16.7,34.3,46.3,74.1,593.2,178.9,16.6,19,87.1,12.9,16.1,80.3,3.83,8.86,43.2,0.24,0.2,0.04,2.87,2.87,2.04,0.42,4.79,Matches
1019,André Gomes\1961b2aa,pt POR,MF,Everton,eng Premier League,28,1993,6.9,30.9,40.4,76.3,566.2,163.8,13.6,16.2,83.9,12.3,14.5,85,3.91,6.96,56.3,0.14,0.03,0.12,0.58,3.91,0.58,0,3.04,Matches
1020,Angel Gomes\645a3363,eng ENG,MFFW,Lille,fr Ligue 1,20,2000,10.6,29,37.1,78.1,533.8,130.3,13.3,15.2,87.6,11.2,13.3,84.4,3.87,6.7,57.7,0.09,0.13,-0.04,1.42,1.98,1.6,0.09,3.68,Matches
1021,Toti Gomes\f0caab96,pt POR,DF,Wolves,eng Premier League,22,1999,4,35.5,47.8,74.3,648.8,244.3,14.3,16.8,85.1,16.8,20,83.8,3.75,10,37.5,0,0,0,0,2.5,0,0,2.5,Matches
1022,Dani Gómez\0e5ddc7c,es ESP,FW,Levante,es La Liga,23,1998,11.8,14,17.5,79.7,187.1,38.3,9.41,10.8,87.4,2.97,3.64,81.4,0.85,1.53,55.6,0.17,0.19,-0.02,0.93,1.1,0.34,0.08,1.02,Matches
1023,Joe Gomez\7a11550b,eng ENG,DF,Liverpool,eng Premier League,24,1997,3.7,61.6,77.3,79.7,1211.1,345.9,23.2,26.5,87.8,28.4,35.7,79.5,8.92,13.2,67.3,0.27,0.14,0.14,0.81,5.95,1.08,0.54,7.57,Matches
1024,Maxi Gómez\4c2e9442,uy URU,FW,Valencia,es La Liga,24,1996,21.7,12.2,19.1,63.9,195,38.8,6.41,9.22,69.5,4.52,6.87,65.8,0.74,1.47,50,0.05,0.09,-0.04,0.83,1.06,0.65,0.14,1.34,Matches
1025,Moi Gómez\5a626448,es ESP,MFFW,Villarreal,es La Liga,27,1994,14.3,33.7,41.6,81,613.8,154.3,15.5,17.7,87.4,13.6,15.9,85.9,4.06,6.01,67.4,0.14,0.16,-0.02,1.47,2.52,1.89,0.56,3.5,Matches
1026,Papu Gómez\6e4df551,ar ARG,MFFW,Sevilla,es La Liga,33,1988,19.8,42.4,49.2,86.1,777.8,173.5,19.9,21.4,93.2,15.7,17.7,88.6,5.61,8.23,68.1,0.05,0.1,-0.05,1.21,3.74,1.31,0.56,3.94,Matches
1027,Sergi Gómez\bc6f5f06,es ESP,DF,Espanyol,es La Liga,29,1992,30.2,38,43.9,86.5,826.1,256.5,8.91,9.67,92.1,22,22.9,96,6.52,10.2,63.8,0.07,0.03,0.04,0.1,1.29,0,0,1.16,Matches
1028,Alfred Gomis\cecbce23,sn SEN,GK,Rennes,fr Ligue 1,27,1993,25,23.8,31.2,76.2,726.7,449.8,4.04,4.04,100,11,11.2,98.9,8.6,15.9,54,0,0,0,0,0.08,0,0,0,Matches
1029,Maxime Gonalons\b8c1de25,fr FRA,MF,Granada,es La Liga,32,1989,16.2,33.6,40,84,677.6,194.3,12,13.7,87.4,15.8,17.3,91.1,5.19,7.28,71.2,0.12,0.05,0.07,0.68,3.09,0.12,0,4.01,Matches
1030,Vagner Gonçalves\743fd71f,cv CPV,MFFW,Metz,fr Ligue 1,25,1996,1,25,38,65.8,373,153,17,19,89.5,4,7,57.1,3,7,42.9,0,0.1,-0.1,2,0,2,0,2,Matches
1031,Cedric Gondo\ff37d2ef,ci CIV,FW,Salernitana,it Serie A,24,1996,7.8,16.7,22.3,74.7,243.7,44.7,10.1,12.6,80.6,3.85,4.74,81.1,1.67,2.31,72.2,0,0.08,-0.08,1.67,0.38,0.64,0.26,1.15,Matches
1032,Álvaro González\42dcf26d,es ESP,DF,Marseille,fr Ligue 1,31,1990,5,71.4,74.4,96,1538.4,330,18,18.6,96.8,41,42.2,97.2,12.2,13.2,92.4,0,0,0,0,1.6,0,0,2.4,Matches
1033,Diego González\4ac7608e,es ESP,DF,Elche,es La Liga,26,1995,19.9,29.7,35.4,83.9,673.5,189.7,6.88,7.74,89,17.2,18.2,94.8,5.43,8.89,61,0,0.01,-0.01,0.05,1.11,0,0,1.26,Matches
1034,Édgar González\49d028db,es ESP,DF,Betis,es La Liga,24,1997,16.3,48.9,54.2,90.3,1008.9,327,16.9,17.5,96.8,23.7,25.3,93.7,7.91,10.4,76.3,0.06,0.04,0.02,0.12,1.6,0,0,1.29,Matches
1035,Giovanni González\1fc474ae,uy URU,DF,Mallorca,es La Liga,26,1994,4.1,37.1,49.8,74.5,637.1,261.2,17.6,20.7,84.7,17.6,22.4,78.3,1.95,6.1,32,0,0.2,-0.2,1.46,2.93,0.98,0.24,3.66,Matches
1036,Nicolás González\2c56a792,es ESP,MF,Barcelona,es La Liga,19,2002,12.4,50,55.4,90.2,804.3,146.1,24.5,26.8,91.6,20.7,21.7,95.5,3.47,4.92,70.5,0.08,0.1,-0.02,1.05,4.6,0.48,0,2.5,Matches
1037,Nicolás González\2374aaca,ar ARG,FW,Fiorentina,it Serie A,23,1998,26.2,26.9,35.9,74.9,529.4,109.4,10.9,14.2,76.4,11.3,14.2,79.3,4.31,5.69,75.8,0.23,0.15,0.08,1.45,1.72,1.53,0.46,3.17,Matches
1038,Peter González\1ccd3dae,do DOM,MFDF,Real Madrid,es La Liga,19,2002,0.3,53.3,63.3,84.2,830,103.3,30,30,100,6.67,6.67,100,10,20,50,0,1,-1,6.67,0,0,0,3.33,Matches
1039,Roberto González\56545648,es ESP,FWMF,Betis,es La Liga,20,2001,1.5,20,26,76.9,273.3,57.3,12.7,14.7,86.4,5.33,8,66.7,0.67,1.33,50,0,0,0,0,0.67,0,0,1.33,Matches
