,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1790,Nikola Milenković\bee704fc,rs SRB,DF,Fiorentina,it Serie A,23,1997,32.5,1.42,0.77,0.92,0.31,0.18,0.77,1.17,65.8,0.4,8.86,3.14,35.4,4.28,3.88,0.71,1.32,0.52,0,0.8,2.31,3.72,2.71,0,Matches
1791,Arkadiusz Milik\85613cf0,pl POL,FW,Marseille,fr Ligue 1,27,1994,15.7,0.64,0.32,0,0.45,0.19,0.32,0.96,33.3,0.64,15.4,4.65,30.3,0.83,5.16,9.36,0.7,0.13,0,0.57,0.25,0.89,0.7,0,Matches
1792,Sergej Milinković-Savić\4e6dbac4,rs SRB,MF,Lazio,it Serie A,26,1995,34.4,1.57,1.19,0.47,0.81,0.29,0.32,1.63,19.6,1.31,15.7,4.45,28.4,3.84,7.82,4.01,1.51,0.23,0,1.28,1.6,3.17,1.45,0,Matches
1793,Vanja Milinković-Savić\9fa26bc2,rs SRB,GK,Torino,it Serie A,24,1997,27,0,0,0,0,0,0,0.07,0,0.07,0.15,0,0,0.15,0,0,0,0,0,0,0,0,0,0.07,Matches
1794,Éder Militão\2784f898,br BRA,DF,Real Madrid,es La Liga,23,1998,33.7,1.93,1.19,1.22,0.42,0.3,0.8,1.48,54,0.68,8.4,2.91,34.6,4.54,2.94,0.92,1.45,0.71,0,0.74,2.08,4.01,3.71,0.09,Matches
1795,Luka Milivojević\2ce2508a,rs SRB,MF,Crystal Palace,eng Premier League,30,1991,8.6,2.44,1.51,1.16,1.05,0.23,1.51,2.67,56.5,1.16,15.9,5.23,32.8,6.51,7.79,1.63,1.05,0.12,0,0.93,1.05,3.49,2.44,0,Matches
1796,Luis Milla\19c36442,es ESP,MF,Granada,es La Liga,26,1994,29.9,1.71,1.04,0.9,0.7,0.1,0.57,1.84,30.9,1.27,17.3,5.28,30.5,6.32,8.56,2.44,1.27,0.23,0,1.04,1.34,3.04,1.04,0,Matches
1797,Pere Milla\335039a2,es ESP,FWMF,Elche,es La Liga,28,1992,18.3,1.58,0.98,0.93,0.55,0.11,0.6,2.46,24.4,1.86,21.6,4.97,23,5.3,10.7,5.63,1.42,0.11,0,1.31,1.15,2.73,1.15,0,Matches
1798,Enzo Millot\f76022e7,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.6,1.67,0,0,0,1.67,0,0,,0,43.3,8.33,19.2,15,16.7,11.7,0,0,0,0,3.33,5,5,0,Matches
1799,James Milner\2f90f6b8,eng ENG,MFDF,Liverpool,eng Premier League,35,1986,9.5,3.68,2.42,1.58,1.58,0.53,1.58,3.68,42.9,2.11,18.1,7.16,39.5,3.89,9.79,4.42,2.11,0.63,0,1.47,2.32,6,2.32,0,Matches
1800,Santi Mina\0b90bb97,es ESP,FW,Celta Vigo,es La Liga,25,1995,26.3,1.18,0.8,0.11,0.76,0.3,0.08,1.37,5.6,1.29,19.3,5.06,26.2,2.93,9.73,6.65,1.37,0.11,0,1.25,0.57,1.75,0.87,0,Matches
1801,Yerry Mina\6d5701f2,co COL,DF,Everton,eng Premier League,26,1994,9.4,1.81,1.28,1.81,0,0,0.96,1.49,64.3,0.53,7.45,3.19,42.9,5.11,2.02,0.32,2.02,1.17,0.11,0.85,1.06,2.87,5,0.11,Matches
1802,Takumi Minamino\f833a830,jp JPN,FWMF,Liverpool,eng Premier League,26,1995,2.1,1.43,0.95,0.48,0.48,0.48,0.95,5.24,18.2,4.29,30.5,10.5,34.4,1.9,16.2,12.4,0.48,0,0,0.48,1.43,2.86,0.48,0,Matches
1803,Tyrone Mings\8397a50c,eng ENG,DF,Aston Villa,eng Premier League,28,1993,35.4,1.02,0.59,0.65,0.23,0.14,0.31,0.59,52.4,0.28,5.73,1.86,32.5,3.19,1.89,0.65,1.95,0.93,0.08,1.02,2.2,3.22,5.11,0.06,Matches
1804,Óscar Mingueza\056269d7,es ESP,DF,Barcelona,es La Liga,22,1999,9.9,2.53,1.21,1.31,1.21,0,1.52,2.63,57.7,1.11,13.8,4.85,35,7.37,4.95,1.52,2.02,0.1,0,1.92,1.31,3.84,2.12,0.1,Matches
1805,Rafa Mir\bbf5c11b,es ESP,FW,Sevilla,es La Liga,24,1997,20.1,0.35,0.35,0.05,0.15,0.15,0,0.4,0,0.4,14.1,3.93,27.8,1.04,6.07,7.01,0.4,0.15,0,0.25,0.2,0.55,0.85,0,Matches
1806,Jorge Miramón\7f4c7c9f,es ESP,DF,Levante,es La Liga,32,1989,22,1.68,1.14,1.05,0.5,0.14,0.64,1.82,35,1.18,12.5,4.14,33.2,5.18,4.73,2.55,1.59,0.23,0.05,1.36,2.05,3.73,2.5,0,Matches
1807,Aleksei Miranchuk\a9aa0d1d,ru RUS,MFFW,Atalanta,it Serie A,25,1995,8.6,1.16,0.58,0.35,0.58,0.23,0.35,0.58,60,0.23,18.6,4.88,26.3,2.67,7.44,8.49,0.81,0,0,0.81,0.47,1.63,0.7,0,Matches
1808,Juan Miranda\ead61f73,es ESP,DF,Betis,es La Liga,21,2000,8.7,2.53,1.49,1.61,0.46,0.46,0.8,2.3,35,1.49,15.1,4.6,30.5,6.78,5.06,3.22,2.18,0.57,0,1.61,1.49,4.02,3.22,0,Matches
1809,Fabio Miretti\34693494,it ITA,MF,Juventus,it Serie A,17,2003,3.6,2.5,1.39,0.83,1.67,0,0.56,3.33,16.7,2.78,33.3,7.22,21.7,12.5,15.8,5,0.83,0.28,0,0.56,0.56,3.06,0.28,0,Matches
1810,Tyrick Mitchell\5cbd1eb0,eng ENG,DF,Crystal Palace,eng Premier League,21,1999,34.5,3.13,1.57,2.14,0.7,0.29,1.25,1.88,66.2,0.64,19.8,6.32,31.9,11.4,5.48,2.9,2.2,0.17,0,2.03,2.29,5.42,2.46,0.03,Matches
1811,Stefan Mitrović\e6777e6b,rs SRB,DF,Getafe,es La Liga,31,1990,29.6,0.57,0.27,0.37,0.2,0,0.27,0.44,61.5,0.17,4.76,1.62,34,3.14,1.45,0.17,1.28,0.57,0,0.71,1.39,1.96,3.82,0.03,Matches
1812,Maximilian Mittelstädt\88d4144a,de GER,DFFW,Hertha BSC,de Bundesliga,24,1997,16.6,3.43,1.87,1.93,0.9,0.6,1.33,3.01,44,1.69,19.8,5.84,29.5,9.28,6.81,3.73,2.41,0.3,0,2.11,3.61,7.05,1.69,0,Matches
1813,Henrikh Mkhitaryan\dd0daf32,am ARM,MFFW,Roma,it Serie A,32,1989,27.7,1.73,1.16,0.58,0.9,0.25,0.61,1.95,31.5,1.34,20.4,6.14,30.1,4.69,10.9,4.77,1.7,0.07,0,1.62,1.55,3.29,0.9,0,Matches
1814,Jakub Moder\f230bc30,pl POL,MFFW,Brighton,eng Premier League,22,1999,18.9,2.22,1.53,1.01,0.74,0.48,0.95,2.12,45,1.16,19.1,6.14,32.1,6.24,7.14,5.71,1.64,0.11,0,1.53,1.16,3.39,1.38,0.05,Matches
1815,Anthony Modeste\34e4343c,fr FRA,FW,Köln,de Bundesliga,33,1988,29,0.41,0.21,0.1,0.21,0.1,0.17,0.79,21.7,0.62,12.7,3.86,30.4,1,4.62,7.1,0.41,0.07,0,0.34,0.21,0.62,1.24,0,Matches
1816,Marco Modolo\fdcdb521,it ITA,DF,Venezia,it Serie A,32,1989,4.4,0.68,0.68,0.45,0.23,0,0.23,1.14,20,0.91,7.95,2.27,28.6,4.77,2.5,0.68,2.5,1.59,0,0.91,1.36,2.05,5.45,0,Matches
1817,Luka Modrić\6025fab1,hr CRO,MF,Real Madrid,es La Liga,35,1985,22.6,0.88,0.58,0.31,0.44,0.13,0.31,0.88,35,0.58,13.1,3.94,30.1,2.65,6.64,3.81,0.62,0.22,0,0.4,1.37,2.26,0.27,0,Matches
1818,Terem Moffi\065dc209,ng NGA,FW,Lorient,fr Ligue 1,22,1999,30.1,0.73,0.47,0.13,0.33,0.27,0.23,0.7,33.3,0.47,14.7,3.95,26.9,1.1,6.68,6.91,0.73,0.13,0,0.6,0.33,1.06,0.8,0,Matches
1819,Kevin Möhwald\a5ce09f2,de GER,MF,Union Berlin,de Bundesliga,28,1993,3.9,1.54,0.77,0.77,0.51,0.26,0.77,2.05,37.5,1.28,20,6.15,30.8,4.62,10.5,4.87,1.03,0,0,1.03,1.03,2.56,0.77,0,Matches
1820,Dion Moise Sahi\cdc4458b,ci CIV,FWMF,Strasbourg,fr Ligue 1,19,2001,1.4,0,0,0,0,0,0,0,,0,15.7,3.57,22.7,2.14,7.86,5.71,0.71,0,0,0.71,0,0,0.71,0,Matches
1821,Johan Mojica\608f2092,co COL,DF,Elche,es La Liga,28,1992,31.7,1.42,0.91,0.98,0.32,0.13,0.66,0.91,72.4,0.25,11,3.25,29.4,5.74,3.6,1.7,1.42,0.09,0,1.32,2.05,3.47,1.83,0,Matches
1822,Clinton Mola\29ddfb9c,eng ENG,DF,Stuttgart,de Bundesliga,20,2001,1.3,2.31,0,1.54,0.77,0,0.77,3.08,25,2.31,10,1.54,15.4,5.38,4.62,0,5.38,3.85,0,1.54,1.54,3.85,5.38,0,Matches
1823,Jorge Molina\43f71e77,es ESP,FW,Granada,es La Liga,39,1982,21.8,0.46,0.28,0.09,0.14,0.23,0.05,0.55,8.3,0.5,10.2,3.12,30.5,0.92,5.18,4.13,0.69,0.18,0,0.5,0.28,0.73,0.55,0,Matches
1824,Nahuel Molina\23610943,ar ARG,DF,Udinese,it Serie A,23,1997,29.3,1.54,0.89,0.75,0.55,0.24,0.61,1.54,40,0.92,13.8,3.17,23,4.68,5.77,3.34,1.64,0.14,0,1.5,1.19,2.73,1.26,0.03,Matches
1825,Cristian Molinaro\1c8c5aed,it ITA,DF,Venezia,it Serie A,38,1983,6.1,2.13,1.48,1.31,0.82,0,0.82,1.15,71.4,0.33,10.3,2.79,27,6.39,2.79,1.15,2.13,0.33,0,1.8,1.48,3.61,3.77,0,Matches
1826,Florent Mollet\7e82a78f,fr FRA,FWMF,Montpellier,fr Ligue 1,29,1991,29.2,1.1,0.58,0.65,0.27,0.17,0.38,1.78,21.2,1.4,13.3,3.18,23.9,3.53,6.03,3.77,1.34,0.14,0,1.2,1.27,2.36,0.55,0,Matches
1827,Jon Moncayola\9939e168,es ESP,MF,Osasuna,es La Liga,23,1998,32.4,1.23,0.59,0.56,0.52,0.15,0.52,1.39,37.8,0.86,17.3,4.29,24.9,5.15,8.95,3.15,1.67,0.31,0,1.36,1.05,2.28,1.05,0,Matches
1828,Monchu\8ac501f5,es ESP,MF,Granada,es La Liga,21,1999,7.4,1.49,1.08,0.54,0.95,0,0.81,1.62,50,0.81,23.8,5.14,21.6,6.76,14.1,2.97,2.03,0.41,0,1.62,0.41,1.89,0.81,0,Matches
1829,Thomas Monconduit\84d94b91,fr FRA,MF,Lorient,fr Ligue 1,30,1991,25,1.72,1.16,0.68,0.8,0.24,0.4,1.8,22.2,1.4,19.3,4.68,24.2,6.28,10.7,2.32,1.4,0.36,0,1.04,1.28,3,2.12,0,Matches
1830,Gonzalo Montiel\374d5158,ar ARG,DF,Sevilla,es La Liga,24,1997,11.8,1.1,0.34,0.76,0.25,0.08,0.68,1.36,50,0.68,8.47,3.22,38,3.98,3.05,1.44,1.36,0.17,0,1.19,1.27,2.37,1.36,0,Matches
1831,Lorenzo Montipò\c1d95617,it ITA,GK,Hellas Verona,it Serie A,25,1996,34,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.09,0.06,Matches
1832,Ángel Montoro\719384c1,es ESP,MF,Granada,es La Liga,33,1988,14.8,1.76,1.22,0.95,0.47,0.34,0.61,1.49,40.9,0.88,17.2,5.27,30.7,5.88,8.38,2.91,1.15,0.07,0,1.08,0.81,2.57,1.82,0.14,Matches
1833,Martín Montoya\5cec2487,es ESP,DF,Betis,es La Liga,30,1991,5.8,3.1,1.55,1.9,1.03,0.17,1.55,3.45,45,1.9,16,4.66,29,7.76,5.69,2.59,2.07,0,0,2.07,2.07,5.17,3.1,0,Matches
1834,Wesley Moraes\bfae110f,br BRA,FW,Aston Villa,eng Premier League,24,1996,0,0,0,0,0,0,0,0,,0,2,1,50,1,0,1,0,0,0,0,0,0,0,0,Matches
1835,Álvaro Morata\129af0db,es ESP,FW,Juventus,it Serie A,28,1992,25.6,0.78,0.59,0.12,0.39,0.27,0.23,0.82,28.6,0.59,17,4.88,28.7,2.23,6.8,7.97,1.45,0.12,0,1.33,0.63,1.41,0.74,0,Matches
1836,Jan Morávek\e7d22eae,cz CZE,MF,Augsburg,de Bundesliga,31,1989,5.2,2.5,0.96,0.77,1.15,0.58,0.58,4.04,14.3,3.46,29,8.85,30.5,9.23,13.8,5.96,2.88,0.38,0,2.5,1.92,4.42,2.12,0,Matches
1837,Jon Morcillo\b7d7f3bf,es ESP,MF,Athletic Club,es La Liga,22,1998,0.6,0,0,0,0,0,0,5,0,5,38.3,11.7,30.4,13.3,23.3,1.67,1.67,0,0,1.67,0,0,0,0,Matches
1838,Jérémy Morel\e97150c0,mg MAD,DF,Lorient,fr Ligue 1,37,1984,6.7,2.54,1.79,1.79,0.6,0.15,0.6,0.6,100,0,8.51,3.43,40.4,4.33,3.28,0.9,2.09,1.34,0,0.75,2.69,5.22,4.63,0,Matches
1839,Alberto Moreno\11b9265b,es ESP,MFDF,Villarreal,es La Liga,29,1992,13.6,1.18,0.88,0.44,0.66,0.07,0.37,1.47,25,1.1,13.8,4.04,29.3,4.85,5.74,3.24,1.25,0.15,0,1.1,2.65,3.82,0.88,0.07,Matches
1840,Álex Moreno\16e9d0ea,es ESP,DF,Betis,es La Liga,28,1993,26.7,2.96,1.65,2.1,0.49,0.37,1.27,2.36,54,1.09,15.4,4.68,30.4,7.94,4.49,2.96,2.55,0.26,0,2.28,1.8,4.76,2.85,0.04,Matches
1841,Gerard Moreno\81f0781e,es ESP,FW,Villarreal,es La Liga,29,1992,13.2,0.53,0.3,0.23,0.23,0.08,0.15,0.53,28.6,0.38,8.64,2.73,31.6,1.21,4.24,3.18,0.68,0.08,0,0.61,0.53,1.06,0.98,0,Matches
1842,Tete Morente\004d185e,es ESP,MFFW,Elche,es La Liga,24,1996,18.1,1.44,0.77,0.72,0.5,0.22,0.55,1.44,38.5,0.88,17.5,4.59,26.2,4.86,7.62,5.03,1.71,0.06,0,1.66,0.94,2.38,0.77,0,Matches
1843,Ilaix Moriba\f4c69aa6,gn GUI,MF,Valencia,es La Liga,18,2003,9.1,3.3,1.87,1.43,1.76,0.11,0.88,2.64,33.3,1.76,28.1,8.35,29.7,7.58,15.2,5.38,1.1,0,0,1.1,1.43,4.73,1.76,0,Matches
1844,Ilaix Moriba\f4c69aa6,gn GUI,MF,RB Leipzig,de Bundesliga,18,2003,0.4,2.5,0,0,0,2.5,0,7.5,0,7.5,15,2.5,16.7,2.5,5,7.5,2.5,0,0,2.5,5,7.5,0,0,Matches
1845,Manu Morlanes\a0255c67,es ESP,MF,Espanyol,es La Liga,22,1999,12.7,2.36,1.57,0.79,1.26,0.31,0.63,2.28,27.6,1.65,19.1,4.96,25.9,8.74,9.13,1.26,1.73,0.39,0,1.34,1.73,4.09,1.97,0,Matches
1846,Raúl Moro\919dd4b1,es ESP,FW,Lazio,it Serie A,18,2002,2.2,0.91,0,0,0.91,0,0.91,2.27,40,1.36,16.4,2.27,13.9,4.55,6.36,5.45,1.82,0,0,1.82,0.45,1.36,0,0,Matches
1847,Loren Morón\3aa4a3be,es ESP,FWMF,Espanyol,es La Liga,27,1993,6.3,1.59,1.11,0.32,0.79,0.48,0,1.27,0,1.27,18.1,4.92,27.2,2.54,9.21,6.35,2.06,0.16,0,1.9,0.16,1.75,1.59,0,Matches
1848,Loren Morón\3aa4a3be,es ESP,FW,Betis,es La Liga,27,1993,0,0,0,0,0,0,0,0,,0,2,1,50,0,1,1,0,0,0,0,0,0,0,0,Matches
1849,Tyler Morton\2bc28bb9,eng ENG,MF,Liverpool,eng Premier League,18,2002,0.7,0,0,0,0,0,0,2.86,0,2.86,17.1,5.71,33.3,1.43,12.9,2.86,0,0,0,0,2.86,2.86,0,0,Matches
1850,Cristhian Mosquera\dc1ce4f5,co COL,DF,Valencia,es La Liga,17,2004,2.4,2.5,1.25,2.08,0.42,0,1.67,2.5,66.7,0.83,15.4,1.25,8.1,8.75,4.17,2.5,0.83,0,0,0.83,2.08,4.58,0.83,0,Matches
1851,Lebo Mothiba\3eaf8817,za RSA,FWMF,Troyes,fr Ligue 1,25,1996,5.8,1.55,1.03,0.34,0.86,0.34,0.69,1.03,66.7,0.34,15.2,3.62,23.9,1.38,9.31,4.48,0.34,0,0,0.34,1.21,2.76,0.17,0,Matches
1852,Lebo Mothiba\3eaf8817,za RSA,FW,Strasbourg,fr Ligue 1,25,1996,0,0,0,0,0,0,0,0,,0,2,1,50,0,1,1,0,0,0,0,0,0,0,0,Matches
1853,Andrei Motoc\b64073a0,ro ROU,DF,Salernitana,it Serie A,19,2002,1,2,2,1,1,0,1,1,100,0,9,2,22.2,5,3,1,3,2,0,1,3,5,2,0,Matches
1854,Baptiste Mouazan\81ac108d,fr FRA,MF,Lorient,fr Ligue 1,19,2001,1.1,3.64,2.73,1.82,1.82,0,0,0.91,0,0.91,29.1,8.18,28.1,12.7,12.7,3.64,2.73,0,0,2.73,0.91,4.55,1.82,0,Matches
1855,Aimen Moueffek\2591b066,fr FRA,MF,Saint-Étienne,fr Ligue 1,20,2001,4.8,1.46,1.25,0.21,1.25,0,0.21,2.08,10,1.88,26.7,8.54,32,7.92,13.3,5.42,0.63,0,0,0.63,1.67,3.13,1.04,0,Matches
1856,Youssoufa Moukoko\6ce43701,de GER,FW,Dortmund,de Bundesliga,16,2004,2.5,0.4,0.4,0,0.4,0,0,0.8,0,0.8,21.2,7.2,34,3.2,8.4,9.6,2.8,0,0,2.8,0,0.4,0.4,0,Matches
1857,Harold Moukoudi\5f26e0c5,cm CMR,DF,Saint-Étienne,fr Ligue 1,23,1997,18.5,1.84,1.19,1.35,0.49,0,0.65,1.57,41.4,0.92,10.1,4.81,47.8,6.59,3.35,0.11,2.05,0.81,0,1.24,2.22,4.05,3.68,0.11,Matches
1858,Jessy Moulin\28a65a2c,fr FRA,GK,Troyes,fr Ligue 1,35,1986,7,0,0,0,0,0,0,0.14,0,0.14,0.43,0.14,33.3,0.43,0,0,0,0,0,0,0,0,0,0,Matches
1859,Steve Mounié\19ba6c6d,bj BEN,FW,Brest,fr Ligue 1,26,1994,25.7,0.82,0.51,0.04,0.66,0.12,0.16,0.93,16.7,0.78,21.1,4.94,23.4,1.67,13.2,6.19,0.74,0.12,0,0.62,0.47,1.28,0.51,0,Matches
1860,Mason Mount\9674002f,eng ENG,MFFW,Chelsea,eng Premier League,22,1999,26.3,1.63,1.1,0.38,0.68,0.57,0.42,1.25,33.3,0.84,20.1,6.12,30.5,3.27,7.91,8.9,0.87,0.08,0,0.8,0.76,2.4,0.42,0,Matches
1861,Lucas Moura\2b622f01,br BRA,FWMF,Tottenham,eng Premier League,28,1992,19.7,1.47,0.71,0.3,0.81,0.36,0.3,1.32,23.1,1.02,14.1,3.45,24.5,3.35,7.11,3.65,0.91,0.05,0,0.86,1.12,2.59,1.07,0,Matches
1862,Lys Mousset\d9cfca3d,fr FRA,FWMF,Salernitana,it Serie A,25,1996,1.8,0,0,0,0,0,0,0.56,0,0.56,27.8,5,18,3.33,7.22,17.2,0.56,0.56,0,0,0.56,0.56,0,0,Matches
1863,João Moutinho\f5a00fa4,pt POR,MF,Wolves,eng Premier League,34,1986,33,2.3,1.64,1.12,0.88,0.3,0.82,2.97,27.6,2.15,18.4,5.64,30.6,7.03,9.64,1.76,1.58,0.24,0,1.33,1.45,3.76,1.06,0,Matches
1864,Samuel Moutoussamy\af0c835b,cd COD,MF,Nantes,fr Ligue 1,24,1996,16.8,3.27,2.5,1.67,1.01,0.6,1.25,3.04,41.2,1.79,30.2,7.38,24.5,10.6,16,3.57,0.71,0.12,0,0.6,1.43,4.7,1.25,0.06,Matches
1865,Toni Moya\9e098912,es ESP,MF,Alavés,es La Liga,23,1998,15.4,1.62,1.17,0.78,0.71,0.13,0.58,2.21,26.5,1.62,24,5.84,24.4,7.01,13.5,3.44,1.95,0.52,0,1.43,1.69,3.31,1.56,0,Matches
1866,Samuel Mráz\be6c1ccc,sk SVK,FW,Spezia,it Serie A,24,1997,0.6,0,0,0,0,0,0,0,,0,11.7,3.33,28.6,0,6.67,5,3.33,0,0,3.33,0,0,0,0,Matches
1867,Nordi Mukiele\ac73ec79,fr FRA,DF,RB Leipzig,de Bundesliga,23,1997,20.5,2.15,1.37,1.41,0.59,0.15,0.88,1.8,48.6,0.93,15.2,5.51,36.2,5.61,6.39,3.22,1.51,0.24,0,1.27,2.54,4.68,2.68,0.1,Matches
1868,Mert Müldür\1295552e,tr TUR,DF,Sassuolo,it Serie A,22,1999,22.7,2.25,1.32,1.76,0.35,0.13,1.15,1.98,57.8,0.84,11.4,3.61,31.8,5.68,3.52,2.16,1.89,0.31,0,1.59,1.41,3.66,2.25,0.04,Matches
1869,Florian Müller\cbac6ec9,de GER,GK,Stuttgart,de Bundesliga,23,1997,30,0,0,0,0,0,0,0.03,0,0.03,0.13,0.07,50,0.13,0,0,0.03,0,0,0.03,0,0,0,0.07,Matches
1870,Thomas Müller\3c6089ab,de GER,MF,Bayern Munich,de Bundesliga,31,1989,28.4,1.48,0.88,0.35,0.67,0.46,0.49,1.65,29.8,1.16,16.7,5.42,32.4,2.15,7.68,6.9,1.34,0.14,0,1.2,0.81,2.29,0.56,0,Matches
1871,Bali Mumba\2d760d7b,eng ENG,DF,Norwich City,eng Premier League,19,2001,0.5,2,0,2,0,0,0,0,,0,24,6,25,20,4,0,4,0,0,4,2,4,10,0,Matches
1872,Marshall Munetsi\2acf0cd7,zw ZIM,MFDF,Reims,fr Ligue 1,25,1996,20.9,2.39,1.1,1.44,0.86,0.1,0.72,1.77,40.5,1.05,19.1,5.84,30.6,7.51,9.38,2.2,2.34,0.57,0,1.77,2.3,4.69,4.07,0.05,Matches
1873,Iker Muniain\c05dfb74,es ESP,MF,Athletic Club,es La Liga,28,1992,30.9,1.13,0.68,0.36,0.61,0.16,0.55,1.26,43.6,0.71,11,2.75,24.9,2.3,5.47,3.27,0.87,0.03,0,0.84,0.74,1.88,0.23,0,Matches
1874,Aihen Muñoz\228b0d9d,es ESP,DF,Real Sociedad,es La Liga,23,1997,14.9,2.48,1.21,1.21,1.07,0.2,1.21,2.08,58.1,0.87,14,5.03,35.9,5.5,6.91,1.61,1.34,0.07,0,1.28,1.74,4.23,2.55,0.07,Matches
1875,Luis Muriel\eb2fe5b6,co COL,FW,Atalanta,it Serie A,30,1991,17.1,1.05,0.41,0.12,0.41,0.53,0.41,1.17,35,0.76,13.2,3.68,28,0.88,4.27,8.01,0.88,0.06,0,0.82,0.53,1.58,0.29,0,Matches
1876,Jeison Murillo\b233e8e4,co COL,DF,Celta Vigo,es La Liga,29,1992,12.4,1.85,0.56,1.21,0.65,0,0.73,1.05,69.2,0.32,9.11,3.55,38.9,5.48,3.23,0.4,1.69,0.81,0,0.89,1.21,3.06,3.39,0,Matches
1877,Vedat Muriqi\0cadc46d,xk KVX,FW,Mallorca,es La Liga,27,1994,16,0.25,0.19,0.13,0.06,0.06,0.06,0.31,20,0.25,10.8,2.88,26.6,0.75,5,5.06,1.38,0.06,0,1.31,0.75,1,1.63,0,Matches
1878,Vedat Muriqi\0cadc46d,xk KVX,FW,Lazio,it Serie A,27,1994,2.4,0.42,0,0.42,0,0,0,1.25,0,1.25,16.3,2.92,17.9,4.17,3.75,8.33,0.83,0,0,0.83,0.42,0.83,0.42,0,Matches
1879,Jacob Murphy\de112b84,eng ENG,FWDF,Newcastle Utd,eng Premier League,26,1995,16.4,2.5,1.04,1.65,0.67,0.18,0.91,2.13,42.9,1.22,19.5,4.33,22.2,8.29,6.46,4.76,1.89,0.12,0,1.77,2.01,4.51,1.22,0,Matches
1880,Nicola Murru\d183e9d6,it ITA,DF,Sampdoria,it Serie A,26,1994,10.9,2.66,1.83,1.01,1.56,0.09,0.92,1.38,66.7,0.46,14.1,4.5,31.8,5.32,6.51,2.29,2.57,0.37,0,2.2,1.47,4.13,2.2,0,Matches
1881,Yunus Musah\b51b1b9c,us USA,MFFW,Valencia,es La Liga,18,2002,14,1.79,0.64,0.43,0.93,0.43,0.57,1.57,36.4,1,20.9,5,23.9,5.36,10.1,5.43,1.36,0.07,0,1.29,1,2.79,0.79,0,Matches
1882,Torben Müsel\d01b9ad6,de GER,MF,M'Gladbach,de Bundesliga,22,1999,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1883,Jamal Musiala\2c0558b8,de GER,MFFW,Bayern Munich,de Bundesliga,18,2003,16.3,2.33,1.53,0.67,0.92,0.74,0.86,2.27,37.8,1.41,21.7,7.18,33.1,3.99,8.1,9.63,1.72,0,0,1.72,2.09,4.42,0.25,0,Matches
1884,Juan Musso\a111cf41,ar ARG,GK,Atalanta,it Serie A,27,1994,32.6,0,0,0,0,0,0,0,,0,0.12,0.03,25,0.12,0,0,0.03,0,0,0.03,0,0,0,0,Matches
1885,Shkodran Mustafi\3f2d59fe,de GER,DF,Levante,es La Liga,29,1992,7.3,1.51,0.55,0.82,0.68,0,0.55,0.96,57.1,0.41,7.53,3.01,40,4.25,3.01,0.27,0.68,0.27,0,0.41,1.78,3.29,5.62,0,Matches
1886,Junior Mwanga\ee158be5,fr FRA,DF,Bordeaux,fr Ligue 1,18,2003,1,7,6,6,1,0,1,1,100,0,13,6,46.2,10,2,1,2,0,0,2,3,10,1,0,Matches
1887,Enock Mwepu\1d5cab82,zm ZAM,MFFW,Brighton,eng Premier League,23,1998,11.1,2.25,1.26,0.72,1.08,0.45,0.63,2.61,24.1,1.98,20.1,5.14,25.6,5.68,8.38,6.04,2.16,0.36,0,1.8,1.44,3.69,1.8,0,Matches
1888,Vitaliy Mykolenko\30d4a2e5,ua UKR,DF,Everton,eng Premier League,22,1999,11.7,2.39,1.2,1.37,0.77,0.26,1.03,2.22,46.2,1.2,14.7,3.68,25,7.52,4.96,2.22,2.91,0.17,0,2.74,2.14,4.53,2.65,0.09,Matches
1889,Joakim Mæhle\c459a650,dk DEN,DF,Atalanta,it Serie A,24,1997,16.3,1.47,0.98,0.55,0.67,0.25,0.61,1.6,38.5,0.98,10.7,3.56,33.1,3.44,4.23,3.07,2.27,0.25,0,2.02,1.35,2.82,0.8,0,Matches
1890,Obite N'Dicka\441197b8,fr FRA,DF,Eint Frankfurt,de Bundesliga,21,1999,31.7,2.05,1.36,1.01,0.95,0.09,1.07,1.77,60.7,0.69,12.2,4.67,38.1,5.71,5.58,0.95,2.33,0.69,0.06,1.64,2.02,4.07,5.05,0.06,Matches
1891,Kévin N'Doram\e50623a0,fr FRA,MF,Metz,fr Ligue 1,25,1996,13.7,1.24,1.02,0.58,0.58,0.07,0.07,1.31,5.6,1.24,17.2,4.74,27.7,5.33,10.7,1.17,1.68,0.29,0,1.39,1.97,3.21,1.75,0.07,Matches
1892,Eric N'Jo\b85e57bb,fr FRA,DF,Troyes,fr Ligue 1,17,2004,1.1,0,0,0,0,0,0,0,,0,8.18,2.73,33.3,7.27,0,0.91,1.82,0.91,0,0.91,0.91,0.91,0.91,0,Matches
