,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
953,Iñigo Ruiz de Galarreta\91f7631f,es ESP,MF,Mallorca,es La Liga,27,1993,15.3,0,0.52,0.2,37.5,0.52,0.2,0,0,21.8,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
954,Nicolas Galazzi\a796492f,it ITA,DF,Venezia,it Serie A,20,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
955,Pablo Galdames Millán\dd403465,cl CHI,MF,Genoa,it Serie A,24,1996,11.4,0,1.05,0.26,25,1.05,0.26,0,0,21.9,0,0,0,0.04,0.04,0.03,-0.04,-0.04,Matches
956,Thiago Galhardo\766f48dd,br BRA,FWMF,Celta Vigo,es La Liga,32,1989,12.8,0.16,2.42,1.17,48.4,2.43,1.18,0.06,0.13,12.7,0,0,0,0.27,0.27,0.11,-0.11,-0.11,Matches
957,Conor Gallagher\c2731c10,eng ENG,MF,Crystal Palace,eng Premier League,21,2000,31.6,0.25,1.65,0.7,42.3,1.64,0.7,0.15,0.36,16.5,0.13,0,0,0.18,0.18,0.11,0.07,0.07,Matches
958,Gauthier Gallon\db3164e1,fr FRA,GK,Troyes,fr Ligue 1,28,1993,31,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
959,Cristian Gamboa\f27680d9,cr CRC,DF,Bochum,de Bundesliga,31,1989,19.1,0.05,0.26,0.05,20,0.26,0.05,0.2,1,30.4,0,0,0,0.01,0.01,0.02,0.05,0.05,Matches
960,Kévin Gameiro\42276181,fr FRA,FW,Strasbourg,fr Ligue 1,34,1987,26.5,0.42,2.45,0.94,38.5,2.45,0.94,0.15,0.4,13.5,0,0.04,0.11,0.53,0.44,0.19,-0.11,-0.06,Matches
961,Idrissa Gana Gueye\72c812f3,sn SEN,MF,Paris S-G,fr Ligue 1,31,1989,18.2,0.16,1.32,0.38,29.2,1.32,0.38,0.13,0.43,22.3,0,0,0,0.1,0.1,0.08,0.06,0.06,Matches
962,Ignatius Ganago\23c63b7f,cm CMR,FW,Lens,fr Ligue 1,22,1999,11.4,0.44,2.81,0.88,31.3,2.81,0.88,0.16,0.5,13.2,0,0,0,0.41,0.41,0.15,0.03,0.03,Matches
963,Silvère Ganvoula M'Boussy\6c731625,cg CGO,FW,Bochum,de Bundesliga,25,1996,1.7,0,2.94,1.18,40,2.94,1.18,0,0,10.6,0,0,0,0.76,0.76,0.26,-0.76,-0.76,Matches
964,Álvaro García\90bbd822,es ESP,FW,Rayo Vallecano,es La Liga,28,1992,33.3,0.21,2.01,0.72,35.8,2.01,0.72,0.1,0.29,16.4,0,0,0,0.19,0.19,0.1,0.02,0.02,Matches
965,Dani García\240d3a0b,es ESP,MF,Athletic Club,es La Liga,31,1990,24.2,0,0.5,0.08,16.7,0.5,0.08,0,0,19,0,0,0,0.03,0.03,0.07,-0.03,-0.03,Matches
966,David García\3e42f707,es ESP,DF,Osasuna,es La Liga,27,1994,34.5,0.12,0.9,0.12,12.9,0.9,0.12,0.13,1,11.5,0,0,0,0.04,0.04,0.04,0.08,0.08,Matches
967,Eric García\2bed3eab,es ESP,DF,Barcelona,es La Liga,20,2001,22.7,0,0.26,0.18,66.7,0.26,0.18,0,0,23.7,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
968,Francisco Garcia\7226539b,es ESP,DF,Rayo Vallecano,es La Liga,21,1999,33.6,0.03,0.74,0.24,32,0.74,0.24,0.04,0.13,23.5,0,0,0,0.02,0.02,0.03,0.01,0.01,Matches
969,Joan García\87b498b0,es ESP,GK,Espanyol,es La Liga,20,2001,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
970,Manu García\6ed1a2a2,es ESP,MF,Alavés,es La Liga,23,1998,12,0,0.67,0.08,12.5,0.67,0.08,0,0,21.8,0,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
971,Raúl García\b418dbd4,es ESP,FW,Athletic Club,es La Liga,35,1986,20,0.3,2.2,0.6,27.3,2.2,0.6,0.14,0.5,16.2,0,0,0.05,0.3,0.26,0.12,0,0.04,Matches
972,Rubén García\5c96b017,es ESP,FWMF,Osasuna,es La Liga,28,1993,26.4,0.04,1.14,0.34,30,1.14,0.34,0.03,0.11,23.1,0.15,0,0.08,0.12,0.06,0.05,-0.08,-0.02,Matches
973,Saúl García\dafa5038,es ESP,FW,Alavés,es La Liga,26,1994,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
974,Unai García\4a633cfe,es ESP,DF,Osasuna,es La Liga,29,1992,15.6,0,0.51,0,0,0.51,0,0,,16.8,0,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
975,Alejandro Garnacho\7aa8adfe,es ESP,FW,Manchester Utd,eng Premier League,17,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
976,Mario Gaspar\fb5d47b3,es ESP,DF,Villarreal,es La Liga,30,1990,6.9,0,0.58,0.14,25,0.58,0.14,0,0,17,0,0,0,0.03,0.03,0.06,-0.03,-0.03,Matches
977,Djeidi Gassama\bbdb2789,fr FRA,FW,Paris S-G,fr Ligue 1,17,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
978,Johan Gastien\868eaba0,fr FRA,MF,Clermont Foot,fr Ligue 1,33,1988,30.5,0,0.79,0.23,29.2,0.79,0.23,0,0,23.4,0.03,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
979,Dwight Gayle\e58a03c6,eng ENG,FW,Newcastle Utd,eng Premier League,30,1990,0.4,0,5,0,0,4.74,0,0,,7,0,0,0,0.75,0.75,0.15,-0.75,-0.75,Matches
980,Jean-Philippe Gbamin\6bd603db,ci CIV,MF,Everton,eng Premier League,25,1995,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
981,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,eng Premier League,30,1990,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
982,Linus Gechter\ad2b068c,de GER,DF,Hertha BSC,de Bundesliga,17,2004,8,0.13,0.63,0.13,20,0.63,0.13,0.2,1,8.1,0,0,0,0.07,0.07,0.12,0.05,0.05,Matches
983,Dennis Geiger\37f606f0,de GER,MF,Hoffenheim,de Bundesliga,23,1998,15.3,0.13,0.98,0.13,13.3,0.98,0.13,0.13,1,18.9,0,0,0,0.06,0.06,0.06,0.07,0.07,Matches
984,Joe Gelhardt\01962d0d,eng ENG,FWMF,Leeds United,eng Premier League,19,2002,8.3,0.24,2.65,1.08,40.9,2.65,1.09,0.09,0.22,15.8,0,0,0,0.37,0.37,0.14,-0.13,-0.13,Matches
985,Luca Gemello\53e494ec,it ITA,GK,Torino,it Serie A,21,2000,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
986,Yannick Gerhardt\62ab9184,de GER,MFDF,Wolfsburg,de Bundesliga,27,1994,17.5,0.06,0.8,0.17,21.4,0.8,0.17,0.07,0.33,15.6,0,0,0,0.1,0.1,0.13,-0.05,-0.05,Matches
987,Valère Germain\ea0ff634,fr FRA,FW,Montpellier,fr Ligue 1,31,1990,21.9,0.18,1.46,0.73,50,1.46,0.73,0.13,0.25,11.9,0,0,0,0.19,0.19,0.13,-0.01,-0.01,Matches
988,Gerson\8827bf46,br BRA,MFFW,Marseille,fr Ligue 1,24,1997,28.3,0.32,1.55,0.67,43.2,1.56,0.67,0.2,0.47,16.3,0,0,0,0.19,0.19,0.12,0.12,0.12,Matches
989,Willem Geubbels\9836e892,fr FRA,FWMF,Nantes,fr Ligue 1,19,2001,6,0.33,2.17,0.5,23.1,2.15,0.5,0.15,0.67,15.4,0,0,0,0.28,0.28,0.13,0.05,0.05,Matches
990,Hamadi Al Ghaddioui\5723931e,ma MAR,FW,Stuttgart,de Bundesliga,30,1990,5.5,0.36,2.18,0.73,33.3,2.17,0.72,0.17,0.5,11.3,0,0,0,0.27,0.27,0.13,0.09,0.09,Matches
991,Ismaël Gharbi\5b3cfa12,tn TUN,FW,Paris S-G,fr Ligue 1,17,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
992,Anwar El Ghazi\ffa90327,nl NED,FWMF,Aston Villa,eng Premier League,26,1995,4.3,0.23,1.63,0.47,28.6,1.63,0.47,0,0,21.3,0,0.23,0.23,0.26,0.07,0.04,-0.02,-0.07,Matches
993,Anwar El Ghazi\ffa90327,nl NED,FW,Everton,eng Premier League,26,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
994,Lamine Ghezali\ce84946a,fr FRA,DF,Saint-Étienne,fr Ligue 1,22,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
995,Paolo Ghiglione\71dc23da,it ITA,DF,Genoa,it Serie A,24,1997,6.7,0,1.19,0.6,50,1.19,0.6,0,0,18.4,0,0,0,0.12,0.12,0.1,-0.12,-0.12,Matches
996,Saman Ghoddos\f7b1d4e0,ir IRN,DFMF,Brentford,eng Premier League,27,1993,6,0.17,1.33,0.33,25,1.34,0.34,0.13,0.5,20,0.17,0,0,0.1,0.1,0.08,0.07,0.07,Matches
997,Faouzi Ghoulam\c5adc293,dz ALG,DF,Napoli,it Serie A,30,1991,3.7,0,0.81,0.27,33.3,0.81,0.27,0,0,25.6,0.54,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
998,Dimitris Giannoulis\112c495e,gr GRE,DF,Norwich City,eng Premier League,25,1995,13,0,0.23,0.15,66.7,0.23,0.15,0,0,18.7,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
999,Morgan Gibbs-White\32f60ed8,eng ENG,FWMF,Wolves,eng Premier League,21,2000,0.1,0,20,0,0,20,0,0,,16.2,0,0,0,1,1,0.06,-1,-1,Matches
1000,Ben Gibson\bcfb0142,eng ENG,DF,Norwich City,eng Premier League,28,1993,27.7,0,0.29,0.14,50,0.29,0.14,0,0,10,0,0,0,0.04,0.04,0.15,-0.04,-0.04,Matches
1001,Niko Gießelmann\7242b495,de GER,DF,Union Berlin,de Bundesliga,29,1991,23.1,0.13,1.17,0.52,44.4,1.17,0.52,0.11,0.25,15.3,0,0,0,0.14,0.14,0.12,-0.01,-0.01,Matches
1002,Rafał Gikiewicz\17376543,pl POL,GK,Augsburg,de Bundesliga,33,1987,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1003,Óscar Gil\6652cf96,es ESP,DF,Espanyol,es La Liga,24,1997,18.8,0,0.32,0.05,16.7,0.32,0.05,0,0,23.7,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
1004,Mario Gila\9c435456,es ESP,DF,Real Madrid,es La Liga,20,2000,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1005,Billy Gilmour\df10e27c,sct SCO,MF,Norwich City,eng Premier League,20,2001,20.6,0,0.87,0.15,16.7,0.87,0.15,0,0,22.3,0.1,0,0,0.05,0.05,0.06,-0.05,-0.05,Matches
1006,Daniel Ginczek\e5f63987,de GER,MFFW,Wolfsburg,de Bundesliga,30,1991,0.1,0,10,10,100,6.92,6.92,0,0,17,0,0,0,1,1,0.11,-1,-1,Matches
1007,Matthias Ginter\f521b80a,de GER,DF,M'Gladbach,de Bundesliga,27,1994,26.2,0.04,1.18,0.53,45.2,1.18,0.54,0.03,0.07,13.4,0.04,0,0,0.08,0.08,0.07,-0.04,-0.04,Matches
1008,Nicholas Gioacchini\79ab7593,us USA,MFFW,Montpellier,fr Ligue 1,21,2000,5.5,0,2,0.18,9.1,1.99,0.18,0,0,10.3,0,0,0,0.25,0.25,0.13,-0.25,-0.25,Matches
1009,Sebastian Giovinco\2b7c18ae,it ITA,MF,Sampdoria,it Serie A,34,1987,0.4,0,2.5,0,0,2.31,0,0,,19.2,0,0,0,0,0,0.04,0,0,Matches
1010,Jimmy Giraudon\6ba71da5,fr FRA,DF,Troyes,fr Ligue 1,29,1992,18,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1011,Andrei Girotto\3befc2b6,br BRA,DFMF,Nantes,fr Ligue 1,29,1992,35,0.17,1.29,0.29,22.2,1.29,0.29,0.13,0.6,15,0.09,0,0,0.08,0.08,0.07,0.09,0.09,Matches
1012,Olivier Giroud\16ceb862,fr FRA,FW,Milan,it Serie A,34,1986,21,0.52,2.9,1.1,37.7,2.9,1.09,0.15,0.39,11.2,0.1,0.1,0.1,0.49,0.42,0.14,0.03,0.01,Matches
1013,Serge Gnabry\88e357ef,de GER,FWDF,Bayern Munich,de Bundesliga,26,1995,24.3,0.58,2.8,1.07,38.2,2.8,1.07,0.21,0.54,16.1,0,0,0,0.34,0.34,0.12,0.23,0.23,Matches
1014,Ben Godfrey\9f7c837d,eng ENG,DF,Everton,eng Premier League,23,1998,22.5,0,0.8,0.27,33.3,0.8,0.27,0,0,16.7,0,0,0,0.05,0.05,0.06,-0.05,-0.05,Matches
1015,Diego Godín\fc4f85b1,uy URU,DF,Cagliari,it Serie A,35,1986,9.1,0,0.77,0,0,0.77,0,0,,10,0,0,0,0.05,0.05,0.07,-0.05,-0.05,Matches
1016,Edoardo Goldaniga\4b029b31,it ITA,DF,Cagliari,it Serie A,27,1993,10.4,0,0.48,0.1,20,0.48,0.1,0,0,15.1,0,0,0,0.06,0.06,0.13,-0.06,-0.06,Matches
1017,Edoardo Goldaniga\4b029b31,it ITA,MFDF,Sassuolo,it Serie A,27,1993,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1018,Aleksandr Golovin\3708e9fa,ru RUS,FWMF,Monaco,fr Ligue 1,25,1996,16.7,0.18,1.38,0.42,30.4,1.38,0.42,0.13,0.43,18.7,0.06,0,0,0.18,0.18,0.13,0,0,Matches
1019,André Gomes\1961b2aa,pt POR,MF,Everton,eng Premier League,28,1993,6.9,0,2.03,0.58,28.6,2.04,0.58,0,0,22.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
1020,Angel Gomes\645a3363,eng ENG,MFFW,Lille,fr Ligue 1,20,2000,10.6,0.09,1.32,0.19,14.3,1.32,0.19,0.07,0.5,18.8,0,0,0,0.11,0.11,0.08,-0.02,-0.02,Matches
1021,Toti Gomes\f0caab96,pt POR,DF,Wolves,eng Premier League,22,1999,4,0,0.25,0,0,0.25,0,0,,8,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
1022,Dani Gómez\0e5ddc7c,es ESP,FW,Levante,es La Liga,23,1998,11.8,0.34,2.63,1.19,45.2,2.62,1.19,0.13,0.29,14.9,0,0,0,0.42,0.42,0.16,-0.08,-0.08,Matches
1023,Joe Gomez\7a11550b,eng ENG,DF,Liverpool,eng Premier League,24,1997,3.7,0,0.27,0,0,0.27,0,0,,29.1,0,0,0,0,0,0.01,0,0,Matches
1024,Maxi Gómez\4c2e9442,uy URU,FW,Valencia,es La Liga,24,1996,21.7,0.23,1.94,0.55,28.6,1.93,0.55,0.12,0.42,17,0.23,0,0,0.24,0.24,0.12,-0.01,-0.01,Matches
1025,Moi Gómez\5a626448,es ESP,MFFW,Villarreal,es La Liga,27,1994,14.3,0.14,0.91,0.35,38.5,0.91,0.35,0.15,0.4,13,0,0,0,0.19,0.19,0.21,-0.05,-0.05,Matches
1026,Papu Gómez\6e4df551,ar ARG,MFFW,Sevilla,es La Liga,33,1988,19.8,0.25,1.72,0.61,35.3,1.72,0.61,0.15,0.42,21.3,0,0,0,0.13,0.12,0.07,0.13,0.13,Matches
1027,Sergi Gómez\bc6f5f06,es ESP,DF,Espanyol,es La Liga,29,1992,30.2,0.03,0.23,0.1,42.9,0.23,0.1,0.14,0.33,11.9,0,0,0,0.03,0.03,0.13,0,0,Matches
1028,Alfred Gomis\cecbce23,sn SEN,GK,Rennes,fr Ligue 1,27,1993,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1029,Maxime Gonalons\b8c1de25,fr FRA,MF,Granada,es La Liga,32,1989,16.2,0,0.68,0.12,18.2,0.68,0.12,0,0,24.2,0,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
1030,Vagner Gonçalves\743fd71f,cv CPV,MFFW,Metz,fr Ligue 1,25,1996,1,0,1,1,100,1.05,1.05,0,0,6.3,0,0,0,0.3,0.3,0.26,-0.3,-0.3,Matches
1031,Cedric Gondo\ff37d2ef,ci CIV,FW,Salernitana,it Serie A,24,1996,7.8,0.13,2.56,1.15,45,2.58,1.16,0.05,0.11,15,0,0,0,0.18,0.18,0.07,-0.05,-0.05,Matches
1032,Álvaro González\42dcf26d,es ESP,DF,Marseille,fr Ligue 1,31,1990,5,0,0.4,0,0,0.4,0,0,,6.5,0,0,0,0.04,0.04,0.1,-0.04,-0.04,Matches
1033,Diego González\4ac7608e,es ESP,DF,Elche,es La Liga,26,1995,19.9,0,0.2,0.05,25,0.2,0.05,0,0,12.2,0,0,0,0.01,0.01,0.05,-0.01,-0.01,Matches
1034,Édgar González\49d028db,es ESP,DF,Betis,es La Liga,24,1997,16.3,0.06,0.31,0.12,40,0.31,0.12,0.2,0.5,6.4,0,0,0,0.06,0.06,0.2,0,0,Matches
1035,Giovanni González\1fc474ae,uy URU,DF,Mallorca,es La Liga,26,1994,4.1,0.24,0.73,0.24,33.3,0.74,0.25,0.33,1,13.8,0,0,0,0.12,0.12,0.18,0.12,0.12,Matches
1036,Nicolás González\2c56a792,es ESP,MF,Barcelona,es La Liga,19,2002,12.4,0.16,1.37,0.24,17.6,1.37,0.24,0.12,0.67,20.2,0,0,0,0.11,0.11,0.08,0.05,0.05,Matches
1037,Nicolás González\2374aaca,ar ARG,FW,Fiorentina,it Serie A,23,1998,26.2,0.27,2.63,0.76,29,2.63,0.76,0.06,0.2,15.6,0,0.11,0.11,0.35,0.27,0.1,-0.09,-0.12,Matches
1038,Peter González\1ccd3dae,do DOM,MFDF,Real Madrid,es La Liga,19,2002,0.3,0,6.67,3.33,50,6.67,3.33,0,0,23.1,0,0,0,1.33,1.33,0.2,-1.33,-1.33,Matches
1039,Roberto González\56545648,es ESP,FWMF,Betis,es La Liga,20,2001,1.5,0,1.33,0,0,1.33,0,0,,16.8,0,0,0,0.13,0.13,0.08,-0.13,-0.13,Matches
1040,Charlie Goode\7aee4dd3,eng ENG,DF,Brentford,eng Premier League,25,1995,5,0,0.4,0,0,0.4,0,0,,10.5,0,0,0,0.02,0.02,0.07,-0.02,-0.02,Matches
1041,Anthony Gordon\2bd83368,eng ENG,MFFW,Everton,eng Premier League,20,2001,25.4,0.16,1.73,0.75,43.2,1.73,0.75,0.09,0.21,18.5,0.2,0,0,0.13,0.13,0.08,0.02,0.02,Matches
1042,Kaide Gordon\19a9cb70,eng ENG,FW,Liverpool,eng Premier League,16,2004,0.1,0,10,10,100,10,10,0,0,19,0,0,0,4,4,0.45,-4,-4,Matches
1043,Leon Goretzka\cc86b9a3,de GER,MF,Bayern Munich,de Bundesliga,26,1995,15.5,0.19,2.97,0.77,26.1,2.97,0.77,0.07,0.25,17,0,0,0,0.32,0.32,0.11,-0.12,-0.12,Matches
1044,Gori\f3451c66,es ESP,MF,Espanyol,es La Liga,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1045,Andoni Gorosabel\6f5f82c0,es ESP,DF,Real Sociedad,es La Liga,24,1996,25.4,0,0.43,0,0,0.43,0,0,,20.1,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
1046,Robin Gosens\2d970560,de GER,DF,Atalanta,it Serie A,27,1994,5.1,0.2,2.94,0.78,26.7,2.93,0.78,0.07,0.25,12.7,0,0,0,0.29,0.29,0.1,-0.1,-0.1,Matches
1047,Robin Gosens\2d970560,de GER,DF,Inter,it Serie A,27,1994,1.9,0,2.11,0.53,25,2.13,0.53,0,0,17.4,0,0,0,0.16,0.16,0.08,-0.16,-0.16,Matches
1048,Dan Gosling\7fec31a0,eng ENG,MF,Watford,eng Premier League,31,1990,1.8,0.56,1.11,0.56,50,1.08,0.54,0.5,1,15.6,0,0,0,0.11,0.11,0.09,0.44,0.44,Matches
1049,Amine Gouiri\aad56ca3,fr FRA,FWMF,Nice,fr Ligue 1,21,2000,30.6,0.33,2.29,1.05,45.7,2.29,1.05,0.1,0.22,17.7,0.07,0.1,0.16,0.4,0.28,0.12,-0.08,-0.05,Matches
1050,Jeffrey Gouweleeuw\1025db8e,nl NED,DF,Augsburg,de Bundesliga,30,1991,28.6,0.07,0.38,0.14,36.4,0.38,0.14,0.09,0.25,21.2,0.03,0.03,0.03,0.06,0.04,0.1,0.01,0,Matches
1051,Jonathan Gradit\06c48679,fr FRA,DF,Lens,fr Ligue 1,28,1992,34.1,0,0.15,0,0,0.15,0,0,,29.1,0,0,0,0,0,0.01,0,0,Matches
1052,Jens Grahl\f26dee6b,de GER,GK,Eint Frankfurt,de Bundesliga,32,1988,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1053,Alberto Grassi\6cc97b6a,it ITA,MF,Cagliari,it Serie A,26,1995,24.2,0,1.03,0.08,8,1.03,0.08,0,0,18.9,0.04,0,0,0.05,0.05,0.04,-0.05,-0.05,Matches
1054,Jaume Grau\fc3d2006,es ESP,MF,Osasuna,es La Liga,24,1997,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1055,Andrew Gravillon\49136c42,gp GLP,DF,Reims,fr Ligue 1,23,1998,23.7,0,0.68,0.17,25,0.67,0.17,0,0,20,0.08,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
1056,Demarai Gray\4468ec10,eng ENG,MFFW,Everton,eng Premier League,25,1996,26,0.19,2.5,0.58,23.1,2.5,0.58,0.08,0.33,20.2,0.15,0,0,0.17,0.17,0.07,0.02,0.02,Matches
1057,Adrian Grbić\4a987ffa,at AUT,FWMF,Lorient,fr Ligue 1,24,1996,5.8,0.17,2.07,1.03,50,2.08,1.04,0.08,0.17,19,0.69,0,0,0.26,0.26,0.12,-0.09,-0.09,Matches
1058,Ivo Grbić\3f034750,hr CRO,GK,Lille,fr Ligue 1,25,1996,21,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1059,Jack Grealish\b0b4fd3e,eng ENG,FW,Manchester City,eng Premier League,25,1995,21.3,0.14,2.11,0.75,35.6,2.12,0.75,0.07,0.19,14.3,0,0,0,0.23,0.23,0.11,-0.08,-0.08,Matches
1060,Etienne Green\667b65da,eng ENG,GK,Saint-Étienne,fr Ligue 1,21,2000,13.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1061,Julian Green\ad1d6fa4,us USA,MF,Greuther Fürth,de Bundesliga,26,1995,11.7,0,1.54,0.43,27.8,1.54,0.43,0,0,25.9,0.09,0,0,0.05,0.05,0.04,-0.05,-0.05,Matches
1062,Mason Greenwood\58eee997,eng ENG,FWMF,Manchester Utd,eng Premier League,19,2001,14.1,0.35,3.4,1.28,37.5,3.4,1.27,0.1,0.28,18.7,0,0,0,0.31,0.31,0.09,0.04,0.04,Matches
1063,Sam Greenwood\f3354c07,eng ENG,MFFW,Leeds United,eng Premier League,19,2002,2.6,0,1.54,0,0,1.52,0,0,,19.4,0.38,0,0,0.15,0.15,0.09,-0.15,-0.15,Matches
1064,Michael Gregoritsch\8e235926,at AUT,FWMF,Augsburg,de Bundesliga,27,1994,15.5,0.58,2.65,1.03,39,2.65,1.03,0.2,0.5,15.8,0.26,0.06,0.06,0.34,0.3,0.11,0.24,0.22,Matches
1065,Dominik Greif\30061f53,sk SVK,GK,Mallorca,es La Liga,24,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1066,Clément Grenier\8b298f56,fr FRA,MF,Mallorca,es La Liga,30,1991,0.7,1.43,1.43,1.43,100,1.5,1.5,1,1,6.4,0,0,0,0.57,0.57,0.38,0.86,0.86,Matches
1067,Sebastian Griesbeck\a8db7ebb,de GER,DFMF,Greuther Fürth,de Bundesliga,30,1990,27.1,0.04,0.26,0.07,28.6,0.26,0.07,0.14,0.5,11.2,0,0,0,0.03,0.03,0.1,0.01,0.01,Matches
1068,Sebastian Griesbeck\a8db7ebb,de GER,MF,Union Berlin,de Bundesliga,30,1990,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1069,Antoine Griezmann\df69b544,fr FRA,FW,Barcelona,es La Liga,30,1991,2.9,0,1.38,0,0,1.37,0,0,,12.3,0,0,0,0.14,0.14,0.09,-0.14,-0.14,Matches
1070,Antoine Griezmann\df69b544,fr FRA,FWMF,Atlético Madrid,es La Liga,30,1991,18.8,0.16,2.39,0.69,28.9,2.39,0.69,0.07,0.23,16,0.16,0,0,0.26,0.26,0.11,-0.1,-0.1,Matches
1071,Vincenzo Grifo\54e4866f,it ITA,MFFW,Freiburg,de Bundesliga,28,1993,30.8,0.29,2.01,0.58,29,2.01,0.58,0.06,0.22,21.9,0.58,0.16,0.19,0.3,0.15,0.07,0,-0.02,Matches
1072,Lennart Grill\37998008,de GER,GK,Leverkusen,de Bundesliga,22,1999,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1073,Florian Grillitsch\ffbbc83b,at AUT,DFMF,Hoffenheim,de Bundesliga,25,1995,16.6,0,0.48,0.12,25,0.48,0.12,0,0,24.7,0,0,0,0.03,0.03,0.06,-0.03,-0.03,Matches
1074,Arnaut Groeneveld\f08490a6,nl NED,FW,Villarreal,es La Liga,24,1997,16.4,0.61,3.6,1.52,42.4,3.61,1.53,0.12,0.28,14.7,0.12,0.18,0.18,0.76,0.62,0.17,-0.15,-0.2,Matches
1075,Pascal Groß\8aec0537,de GER,MFDF,Brighton,eng Premier League,30,1991,22.6,0.09,1.02,0.31,30.4,1.02,0.31,0.09,0.29,16.7,0.04,0,0.04,0.13,0.1,0.09,-0.04,-0.01,Matches
1076,Carlos Gruezo\f2dd9a21,ec ECU,MF,Augsburg,de Bundesliga,26,1995,10.8,0,0.93,0,0,0.93,0,0,,22.8,0,0,0,0.05,0.05,0.05,-0.05,-0.05,Matches
1077,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,eng Premier League,34,1987,29.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1078,Andrés Guardado\ef322658,mx MEX,MF,Betis,es La Liga,34,1986,15.5,0,0.9,0.19,21.4,0.9,0.19,0,0,22.4,0,0,0,0.05,0.05,0.06,-0.05,-0.05,Matches
1079,Sergi Guardiola\32974271,es ESP,FW,Rayo Vallecano,es La Liga,30,1991,19,0.42,2.53,0.84,33.3,2.53,0.84,0.15,0.44,14.4,0,0.05,0.05,0.38,0.34,0.13,0.04,0.03,Matches
1080,Nemanja Gudelj\0076ab7f,rs SRB,MFDF,Sevilla,es La Liga,29,1991,11.6,0,0.34,0.17,50,0.34,0.17,0,0,25.7,0.09,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
1081,Gabriel Gudmundsson\d5d22a58,se SWE,DFMF,Lille,fr Ligue 1,22,1999,14.9,0.07,1.34,0.4,30,1.34,0.4,0.05,0.17,16.8,0,0,0,0.15,0.15,0.11,-0.08,-0.08,Matches
1082,Noah Guede-Nadje\94b442c0,fr FRA,FW,Angers,fr Ligue 1,17,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1083,Gonçalo Guedes\e6bc67d7,pt POR,FWMF,Valencia,es La Liga,24,1996,29,0.38,2.31,0.83,35.8,2.31,0.83,0.15,0.42,21.3,0.1,0.03,0.07,0.22,0.17,0.07,0.16,0.18,Matches
